text,label
"I missed my dialysis and I can't breathe well, off Bissonnet, please hurry.",P1
"my mother and I near the Medical Center, my baby hasn't had clean water in two days and won't wake up properly.",P1
"my neighbor near the Medical Center, no power and running low on food, we need a place to stay tonight.",P2
"We're out of food and the baby needs formula soon, off Bissonnet, everyone is okay otherwise.",P2
"I in Third Ward, the road is flooded and we're out of food, need supplies and shelter.",P2
"my family in Acres Homes, my baby hasn't had clean water in two days and won't wake up properly.",P1
Do I need an ID to stay at the shelter in Alief?,P3
"Elderly neighbor here is barely conscious and we have no water at all, in Sharpstown, it's critical.",P1
"we in Spring Branch, water is receding, we just need supplies and a dry place to stay.",P2
"my disabled brother near the Medical Center, an elderly woman here is unresponsive and we have no medicine.",P1
"a group of us in the East End, we're fine, I just want to register in case we need help later.",P3
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Acres Homes.",P1
"my family in the Heights, an elderly woman here is unresponsive and we have no medicine.",P1
"Are the shelters in Alief taking elderly residents, asking for my neighbor, no urgency.",P3
"my mother and I near the Medical Center, we have water and food, only need to know where to register.",P3
"my newborn and I downtown, we're fine, I just want to register in case we need help later.",P3
Just wondering if the shelter in Gulfton allows pets.,P3
"my mother and I in the Heights, a child is seizing and we have no way to reach a hospital.",P1
"Safe for now in the East End, but the water is slowly rising and we'll need evacuation later.",P2
"a family of four near Greenspoint, everyone's safe — just need information about evacuation buses.",P3
"my neighbor off Bissonnet, we have water and food, only need to know where to register.",P3
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Sharpstown.",P1
"a family of four in Alief, the road is flooded and we're out of food, need supplies and shelter.",P2
"three of us in Gulfton, we evacuated and need somewhere to sleep and some meals.",P2
"my neighbor in the East End, someone is having chest pains and we are trapped by floodwater.",P1
"a group of us in Alief, no power and running low on food, we need a place to stay tonight.",P2
"Safe for now off Bissonnet, but the water is slowly rising and we'll need evacuation later.",P2
"an elderly couple in Acres Homes, we have water and food, only need to know where to register.",P3
Is there a number to call for updates about the shelter in Sharpstown?,P3
"I near the Medical Center, elderly parents are fine for now but we need water and blankets.",P2
"Just want to confirm the food distribution in Spring Branch is still happening, we're okay.",P3
"Our house flooded but we're safe upstairs, in Sunnyside, we need to get out when you can.",P2
"We're stranded on the roof, water still rising, and my mother has a heart condition, in the East End.",P1
"We're stranded on the roof, water still rising, and my mother has a heart condition, in Spring Branch.",P1
Can someone tell me which shelters in Gulfton have wheelchair access?,P3
"No injuries, off Bissonnet, but we lost everything and need shelter and food.",P2
"we in Acres Homes, an older couple here needs supplies and a place to stay, they're stable.",P2
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Sunnyside.",P1
"my neighbor in Third Ward, severe bleeding that won't stop and the roads are flooded.",P1
"Hi, in the Heights, can you tell me where the nearest shelter is?",P3
"three of us in Sunnyside, my child stopped breathing for a moment, please send someone now.",P1
"My newborn has a high fever and we've had no water or formula for a day, near Greenspoint.",P1
"My insulin is gone and the floodwater cut us off, in Sharpstown, I'm shaking badly.",P1
